1 28 28
[0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.05490196 0.06666667
  0.55294118 1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         0.30196078 0.02745098 0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.79607843 1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         0.38431373 0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.79607843 1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         0.38431373 0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.79607843 1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         0.38431373 0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.61568627 0.92156863 1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         0.90196078 0.38431373
  0.38431373 0.38431373 0.14901961 0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         0.57254902 0.25098039 0.25098039 0.21176471 0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         0.93333333 0.50196078 0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         0.57647059 0.02352941 0.02352941 0.02352941
  0.00392157 0.         0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         0.98039216
  0.25490196 0.03921569 0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.70588235 0.9372549  1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         0.25098039 0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.45098039 0.56862745
  0.56862745 0.56862745 0.56862745 0.56862745 0.56862745 0.56862745
  0.87058824 1.         1.         1.         1.         1.
  1.         0.57254902 0.43137255 0.43137255 0.43137255 0.34509804
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.70588235 1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         0.79607843
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.20784314 0.29411765 0.29411765 0.29411765 0.29411765 0.30980392
  0.91764706 1.         1.         1.         1.         0.9372549
  0.70588235 0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.02352941
  0.88627451 1.         1.         1.         1.         1.
  1.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.02352941
  0.88627451 1.         1.         1.         1.         1.
  1.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.02352941
  0.88627451 1.         1.         1.         1.         0.97647059
  0.88627451 0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.09803922 0.25098039 0.25098039 0.25098039 0.25098039
  0.25098039 0.25098039 0.25098039 0.25098039 0.25098039 0.26666667
  0.91372549 1.         1.         1.         1.         0.79607843
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.30588235 0.38431373
  0.38431373 0.62352941 1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         0.79607843
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.79607843 1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         0.67843137 0.47843137 0.47843137 0.38039216
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.79607843 1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         0.38431373 0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.79607843 1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         0.38431373 0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.05490196 0.06666667
  0.06666667 0.42745098 1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         0.30196078 0.02745098 0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.        ]
